package_name,version,application_type,Category
Everything,1.3.4.677b,Utility Suite,Office Productivity
Everything,1.3.4.676b,Utility Suite,Office Productivity
Everything,1.3.4.673b,Utility Suite,Office Productivity
Everything,1.3.4.672b,Utility Suite,Office Productivity
Everything,1.3.4.671b,Utility Suite,Office Productivity
Everything,1.3.4.670b,Utility Suite,Office Productivity
Everything,1.3.4.669b,Utility Suite,Office Productivity
Everything,1.3.4.667b,Utility Suite,Office Productivity
Everything,1.3.4.666b,Utility Suite,Office Productivity
Everything,1.3.4.665b,Utility Suite,Office Productivity
Everything,1.3.4.664b,Utility Suite,Office Productivity
Everything,1.3.4.663b,Utility Suite,Office Productivity
Everything,1.3.4.662b,Utility Suite,Office Productivity
Everything,1.3.3.658b,Utility Suite,Office Productivity
Everything,1.3.3.657b,Utility Suite,Office Productivity
Everything,1.3.3.656b,Utility Suite,Office Productivity
Everything,1.3.3.653b,Utility Suite,Office Productivity
Everything,1.3.2.649b,Utility Suite,Office Productivity
Everything,1.3.2.647b,Utility Suite,Office Productivity
Everything,1.3.2.645b,Utility Suite,Office Productivity
Everything,1.3.2.644b,Utility Suite,Office Productivity
Everything,1.3.2.643b,Utility Suite,Office Productivity
Everything,1.3.2.642b,Utility Suite,Office Productivity
Everything,1.3.1.636b,Utility Suite,Office Productivity
Everything,1.3.0.632b,Utility Suite,Office Productivity
Everything,1.3.0.631b,Utility Suite,Office Productivity
Everything,1.3.0.630b,Utility Suite,Office Productivity
Everything,1.3.0.629b,Utility Suite,Office Productivity
Everything,1.2.1.451a,Utility Suite,Office Productivity
Everything (installer),1.2.1.371,Utility Suite,Office Productivity
Everything (portable),1.2.1.371,Utility Suite,Office Productivity
Everything (installer),1.2.1.369b,Utility Suite,Office Productivity
Everything  (portable),1.2.1.369b,Utility Suite,Office Productivity
Everything (installer),1.2.1.360b,Utility Suite,Office Productivity
Everything (portable),1.2.1.360b,Utility Suite,Office Productivity
Everything (installer),1.2.1.358b,Utility Suite,Office Productivity
